# Credits: EU Copernicus Marine Service information - https://marine.copernicus.eu
# Product: GLOBAL_ANALYSISFORECAST_PHY_001_024
# Dataset: cmems_mod_glo_phy-so_anfc_0.083deg_P1D-m
# Variable: Sea water salinity (so) 1e-3
# Geometry: POINT (-81.370935 -1.164901)
# Values from graph: v(h): value vs. elevation
# Date: 24/06/2025 00:00

depth,so
0.49402499198913574,34.07054901123047
1.5413750410079956,34.07025146484375
2.6456689834594727,34.06966781616211
3.8194949626922607,34.0692024230957
5.078224182128906,34.06919479370117
6.440614223480225,34.07109069824219
7.92956018447876,34.081085205078125
9.572997093200684,34.12762451171875
11.404999732971191,34.21706771850586
13.467140197753906,34.34513854980469
15.810070037841797,34.49921417236328
18.495559692382812,34.6589241027832
21.598819732666016,34.82242965698242
25.211410522460938,34.96022415161133
29.444730758666992,35.093170166015625
34.43415069580078,35.212738037109375
40.344051361083984,35.233131408691406
47.37369155883789,35.23347473144531
55.76428985595703,35.21949005126953
65.80726623535156,35.22498321533203
